R_borehole,U_wall,final_Tout,mean_Tout,max_Tout,final_power_W,mean_power_W,cumulative_energy_MWh
0.05,20.0,16.396043560990872,17.162196733149774,54.6437959221738,223861.52463468054,250676.88566024206,43576.300652978825
0.1,10.0,15.862149811775597,16.411773386395318,37.48721128106425,205175.24341214588,224412.0685238361,39166.086937834916
0.2,5.0,15.022681758104975,15.38706454832843,25.410571605301257,175793.86153367412,188547.25919149513,33002.277529000814
0.5,2.0,13.51026972963813,13.673105314433158,16.626302046684906,122859.44053733457,128558.68600516055,22550.031406928647
